Date,Couleur,Resultat,Methode,Mon_elo,Elo_adversaire,Type_partie,Ouverture,Annee,Mois,Jour_semaine,Heure,Diff_elo,Ouverture_principale
2025-08-14 11:37:05,Blancs,Défaite,Échec et mat,771,820,rapid,Three Knights Opening 3...Bc5,2025,8,Thursday,11,-49,Three Knights
2025-08-14 20:31:13,Noirs,Victoire,Échec et mat,783,766,rapid,Scandinavian Defense,2025,8,Thursday,20,17,Scandinavian Defense
2025-08-14 20:41:39,Noirs,Victoire,Abandon,794,766,rapid,Queens Pawn Opening Zukertort Chigorin Variation 3.Bf4 Bg4,2025,8,Thursday,20,28,Queens Pawn
2025-08-14 20:52:56,Blancs,Défaite,Échec et mat,782,792,rapid,Sicilian Defense Open...4.Nxd4 d6 5.c4 Nf6,2025,8,Thursday,20,-10,Sicilian Defense
2025-08-14 22:13:01,Blancs,Victoire,Abandon,793,761,rapid,Owens Defense 2.d4 Bb7 3.Nc3 e6 4.Nf3,2025,8,Thursday,22,32,Owens Defense
2025-08-14 23:40:50,Blancs,Défaite,Échec et mat,783,811,rapid,Ruy Lopez Opening Classical Defense 4.O O,2025,8,Thursday,23,-28,Ruy Lopez
2025-08-15 01:23:17,Blancs,Défaite,Abandon,618,811,bullet,Four Knights Game Spanish Variation 4...d6,2025,8,Friday,1,-193,Four Knights
2025-08-15 12:02:36,Noirs,Défaite,Abandon,772,780,rapid,Birds Opening Dutch Variation 2.Nf3,2025,8,Friday,12,-8,Birds Opening
2025-08-15 12:19:30,Noirs,Nulle,Matériel insuffisant,772,764,rapid,Sicilian Defense Bowdler Attack 2...Nc6,2025,8,Friday,12,8,Sicilian Defense
2025-08-15 12:52:00,Noirs,Défaite,Échec et mat,762,761,rapid,Sicilian Defense Staunton Cochrane Variation 2...Nc6,2025,8,Friday,12,1,Sicilian Defense
2025-08-15 16:07:59,Blancs,Victoire,Partie abandonnée,772,775,rapid,Alekhines Defense,2025,8,Friday,16,-3,Alekhines Defense
2025-08-15 16:16:44,Noirs,Victoire,Échec et mat,781,737,rapid,Kings Fianchetto Opening 1...e5,2025,8,Friday,16,44,Kings Fianchetto
2025-08-15 16:55:08,Noirs,Victoire,Échec et mat,790,755,rapid,Sicilian Defense Nyezhmetdinov Rossolimo Attack,2025,8,Friday,16,35,Sicilian Defense
2025-08-15 16:58:33,Blancs,Victoire,Abandon,798,769,rapid,Scandinavian Defense Mieses Kotrc Variation 3.Nc3,2025,8,Friday,16,29,Scandinavian Defense
2025-08-15 17:08:54,Noirs,Victoire,Échec et mat,806,778,rapid,Closed Sicilian Defense Portland Attack,2025,8,Friday,17,28,Closed Sicilian
2025-08-15 19:09:35,Blancs,Défaite,Abandon,798,836,rapid,Four Knights Game Spanish Variation Classical Variation 5.O O O O,2025,8,Friday,19,-38,Four Knights
2025-08-15 19:16:03,Noirs,Victoire,Échec et mat,806,796,rapid,Sicilian Defense 2.Nf3 d6 3.c4,2025,8,Friday,19,10,Sicilian Defense
2025-08-15 19:25:32,Blancs,Défaite,Abandon,798,804,rapid,Ruy Lopez Opening Morphy Defense Exchange Lutikov Variation,2025,8,Friday,19,-6,Ruy Lopez
2025-08-15 19:30:59,Blancs,Défaite,Abandon,790,803,rapid,Ruy Lopez Opening Berlin Defense 4.Bxc6 dxc6,2025,8,Friday,19,-13,Ruy Lopez
2025-08-15 22:48:03,Noirs,Défaite,Échec et mat,782,799,rapid,Sicilian Defense Old Sicilian Variation 3.d3 d6,2025,8,Friday,22,-17,Sicilian Defense
2025-08-15 22:58:15,Blancs,Victoire,Partie abandonnée,790,754,rapid,Kings Pawn Opening Kings Knight Variation,2025,8,Friday,22,36,Kings Pawn
2025-08-15 23:06:09,Noirs,Victoire,Échec et mat,797,760,rapid,Sicilian Defense,2025,8,Friday,23,37,Sicilian Defense
2025-08-15 23:14:41,Noirs,Victoire,Partie abandonnée,805,778,rapid,Queens Pawn Opening 1...d5 2.e3 c5,2025,8,Friday,23,27,Queens Pawn
2025-08-16 11:55:48,Blancs,Victoire,Échec et mat,813,811,rapid,French Defense Knight Variation,2025,8,Saturday,11,2,French Defense
2025-08-16 12:17:43,Noirs,Défaite,Abandon,805,836,rapid,French Defense Classical Variation,2025,8,Saturday,12,-31,French Defense
2025-08-16 12:33:42,Blancs,Défaite,Échec et mat,797,823,rapid,Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qe5 4.Be2,2025,8,Saturday,12,-26,Scandinavian Defense
2025-08-16 23:41:00,Blancs,Victoire,Partie abandonnée,805,751,rapid,Ruy Lopez Opening Morphy Defense Exchange Lutikov Variation,2025,8,Saturday,23,54,Ruy Lopez
2025-08-16 23:53:43,Noirs,Victoire,Échec et mat,813,810,rapid,Queens Gambit Declined,2025,8,Saturday,23,3,Queens Gambit
2025-08-17 00:11:48,Noirs,Nulle,Répétition,813,803,rapid,Scandinavian Defense,2025,8,Sunday,0,10,Scandinavian Defense
2025-08-17 11:19:56,Blancs,Défaite,Abandon,805,847,rapid,Four Knights Game Spanish Variation 4...d6,2025,8,Sunday,11,-42,Four Knights
2025-08-17 11:23:18,Blancs,Défaite,Échec et mat,797,814,rapid,Petrovs Defense Classical Variation,2025,8,Sunday,11,-17,Petrovs Defense
2025-08-17 11:33:58,Noirs,Victoire,Abandon,805,788,rapid,Sicilian Defense Old Sicilian Variation 3.Bc4 e6,2025,8,Sunday,11,17,Sicilian Defense
2025-08-17 21:53:59,Blancs,Nulle,Temps (matériel insuffisant),805,816,rapid,Kings Pawn Opening St George Defense 2.d4 b5 3.Nf3 Bb7,2025,8,Sunday,21,-11,Kings Pawn
2025-08-17 22:04:39,Noirs,Victoire,Abandon,813,815,rapid,Closed Sicilian Defense Traditional Line 3.Bb5,2025,8,Sunday,22,-2,Closed Sicilian
2025-08-17 22:09:16,Blancs,Défaite,Échec et mat,805,800,rapid,Italian Game 3...d6,2025,8,Sunday,22,5,Italian Game
2025-08-19 15:08:13,Noirs,Victoire,Partie abandonnée,814,821,rapid,Alapin Sicilian Defense...3.d4 cxd4 4.cxd4 d5,2025,8,Tuesday,15,-7,Alapin Sicilian
2025-08-19 15:40:57,Blancs,Victoire,Abandon,822,799,rapid,Kings Pawn Opening Leonardis Variation 2...Nf6 3.Nf3,2025,8,Tuesday,15,23,Kings Pawn
2025-08-19 15:52:06,Blancs,Victoire,Abandon,830,813,rapid,Kings Pawn Opening Kings Knight Variation,2025,8,Tuesday,15,17,Kings Pawn
2025-08-19 17:03:00,Noirs,Défaite,Abandon,823,859,rapid,Sicilian Defense Bowdler Attack,2025,8,Tuesday,17,-36,Sicilian Defense
2025-08-19 17:13:40,Noirs,Défaite,Abandon,815,822,rapid,Closed Sicilian Defense Grand Prix Attack 3...d6 4.Nf3,2025,8,Tuesday,17,-7,Closed Sicilian
2025-08-22 12:14:51,Noirs,Défaite,Abandon,807,839,rapid,Sicilian Defense Nyezhmetdinov Rossolimo Attack 3...a6 4.Bxc6 bxc6,2025,8,Friday,12,-32,Sicilian Defense
2025-08-22 12:28:02,Blancs,Défaite,Abandon,798,792,rapid,Italian Game 3...d6,2025,8,Friday,12,6,Italian Game
2025-08-23 01:55:26,Blancs,Défaite,Abandon,790,791,rapid,Kings Pawn Opening Kings Knight Variation,2025,8,Saturday,1,-1,Kings Pawn
2025-08-23 02:05:50,Blancs,Défaite,Abandon,781,777,rapid,Philidor Defense 3.Bc4,2025,8,Saturday,2,4,Philidor Defense
2025-08-23 21:55:07,Noirs,Défaite,Abandon,773,777,rapid,Closed Sicilian Defense Traditional Line 3.Bb5,2025,8,Saturday,21,-4,Closed Sicilian
2025-08-24 00:05:55,Blancs,Victoire,Abandon,781,761,rapid,Ruy Lopez Opening Berlin Defense 4.Bxc6 dxc6,2025,8,Sunday,0,20,Ruy Lopez
2025-08-24 00:12:45,Noirs,Défaite,Abandon,773,776,rapid,Closed Sicilian Defense Traditional Line 3.Nf3 Nf6 4.Bb5,2025,8,Sunday,0,-3,Closed Sicilian
2025-08-24 00:21:07,Noirs,Défaite,Échec et mat,765,764,rapid,Van t Kruijs Opening 1...d5,2025,8,Sunday,0,1,Van t
2025-08-24 01:04:24,Blancs,Victoire,Échec et mat,773,737,rapid,French Defense Knight Variation,2025,8,Sunday,1,36,French Defense
2025-08-24 01:12:48,Blancs,Victoire,Échec et mat,781,774,rapid,Ruy Lopez Opening Morphy Defense Exchange Variation 4...dxc6,2025,8,Sunday,1,7,Ruy Lopez
2025-08-24 16:46:55,Noirs,Défaite,Abandon,773,801,rapid,Queens Pawn Opening 1...d5 2.e3 c5,2025,8,Sunday,16,-28,Queens Pawn
2025-08-24 16:51:50,Noirs,Défaite,Abandon,766,802,rapid,Scandinavian Defense Mieses Kotrc Variation,2025,8,Sunday,16,-36,Scandinavian Defense
2025-08-24 16:55:27,Blancs,Défaite,Échec et mat,758,783,rapid,Petrovs Defense Three Knights Game,2025,8,Sunday,16,-25,Petrovs Defense
2025-08-24 17:02:57,Noirs,Victoire,Échec et mat,766,731,rapid,Queens Pawn Opening Krause Variation...4.Bf4 Nc6 5.e3 Bd6,2025,8,Sunday,17,35,Queens Pawn
2025-08-24 17:12:59,Blancs,Défaite,Échec et mat,758,779,rapid,Reti Opening Queenside Fianchetto Variation 2.e4 Bb7 3.Nc3,2025,8,Sunday,17,-21,Reti Opening
2025-08-24 22:00:51,Noirs,Défaite,Abandon,750,780,rapid,Reti Opening Quiet System 2...d5,2025,8,Sunday,22,-30,Reti Opening
2025-08-24 22:04:22,Blancs,Victoire,Abandon,758,756,rapid,Ruy Lopez Opening Morphy Defense Exchange Variation 4...dxc6,2025,8,Sunday,22,2,Ruy Lopez
2025-08-24 22:09:09,Blancs,Victoire,Partie abandonnée,766,741,rapid,Ruy Lopez Opening Berlin Beverwijk Variation 5.d3,2025,8,Sunday,22,25,Ruy Lopez
2025-08-24 22:25:01,Noirs,Défaite,Échec et mat,758,781,rapid,Sicilian Defense 2.Nf3,2025,8,Sunday,22,-23,Sicilian Defense
2025-08-25 11:31:16,Noirs,Nulle,Pat,758,773,rapid,Closed Sicilian Defense Traditional Line 3.Nf3 Nf6 4.Bb5,2025,8,Monday,11,-15,Closed Sicilian
2025-08-25 13:05:33,Noirs,Victoire,Abandon,766,747,rapid,Queens Pawn Opening Accelerated London System,2025,8,Monday,13,19,Queens Pawn
2025-08-25 13:10:06,Blancs,Victoire,Échec et mat,775,780,rapid,Kings Pawn Opening Kings Knight Variation,2025,8,Monday,13,-5,Kings Pawn
2025-08-25 14:14:45,Blancs,Défaite,Échec et mat,767,780,rapid,Italian Game Two Knights Modern Bishops Opening...5.O O O O 6.Nc3 d6,2025,8,Monday,14,-13,Italian Game
2025-08-25 14:23:24,Noirs,Défaite,Abandon,759,796,rapid,Sicilian Defense Bowdler Attack,2025,8,Monday,14,-37,Sicilian Defense
2025-08-25 19:56:18,Blancs,Victoire,Abandon,774,738,rapid,Kings Pawn Opening Kings Knight Variation,2025,8,Monday,19,36,Kings Pawn
2025-08-25 20:05:50,Blancs,Défaite,Échec et mat,766,781,rapid,Sicilian Defense French Variation 3.Nc3 Nc6,2025,8,Monday,20,-15,Sicilian Defense
2025-08-25 20:22:47,Noirs,Victoire,Abandon,774,766,rapid,Nimzowitsch Larsen Attack Classical Variation 2.Bb2,2025,8,Monday,20,8,Nimzowitsch Larsen
2025-08-25 20:37:41,Blancs,Victoire,Abandon,782,751,rapid,Ruy Lopez Opening Morphy Defense Exchange Lutikov Variation,2025,8,Monday,20,31,Ruy Lopez
2025-08-25 23:32:26,Noirs,Défaite,Abandon,774,800,rapid,Closed Sicilian Defense Traditional Line 3.Nf3 Nf6,2025,8,Monday,23,-26,Closed Sicilian
2025-08-25 23:42:05,Noirs,Défaite,Abandon,766,773,rapid,Sicilian Defense Nyezhmetdinov Rossolimo Attack 3...Nf6 4.Bxc6,2025,8,Monday,23,-7,Sicilian Defense
2025-08-25 23:57:21,Blancs,Nulle,Pat,766,778,rapid,Sicilian Defense Hyperaccelerated Dragon Variation 3.Bc4 Bg7 4.O O Nc6 5.c3,2025,8,Monday,23,-12,Sicilian Defense
2025-08-26 11:23:00,Noirs,Défaite,Abandon,758,778,rapid,Sicilian Defense Smith Morra Gambit 2...cxd4 3.Qxd4 Nc6,2025,8,Tuesday,11,-20,Sicilian Defense
2025-08-26 13:53:37,Noirs,Défaite,Échec et mat,750,772,rapid,Sicilian Defense Old Sicilian Variation 3.Bc4 e6 4.Nc3,2025,8,Tuesday,13,-22,Sicilian Defense
2025-08-26 14:07:34,Blancs,Victoire,Échec et mat,758,750,rapid,Scandinavian Defense 2.e5 c5,2025,8,Tuesday,14,8,Scandinavian Defense
2025-08-26 15:53:05,Blancs,Victoire,Échec et mat,758,840,rapid,Sicilian Defense Nyezhmetdinov Rossolimo Attack 3...Qc7,2025,8,Tuesday,15,-82,Sicilian Defense
2025-08-26 16:09:34,Noirs,Victoire,Échec et mat,758,840,rapid,Sicilian Defense French Variation,2025,8,Tuesday,16,-82,Sicilian Defense
2025-08-26 16:26:53,Blancs,Victoire,Échec et mat,758,840,rapid,Reti Opening Dutch Variation...3.Bg2 g6 4.O O Bg7,2025,8,Tuesday,16,-82,Reti Opening
2025-08-26 21:49:16,Blancs,Victoire,Abandon,766,768,rapid,Philidor Defense,2025,8,Tuesday,21,-2,Philidor Defense
2025-08-26 21:59:09,Noirs,Victoire,Abandon,773,734,rapid,Closed Sicilian Defense Traditional Line 3.Nf3,2025,8,Tuesday,21,39,Closed Sicilian
2025-08-26 22:32:13,Blancs,Nulle,Pat,774,796,rapid,French Defense Knight Variation,2025,8,Tuesday,22,-22,French Defense
2025-08-27 14:28:34,Blancs,Défaite,Abandon,766,778,rapid,Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,2025,8,Wednesday,14,-12,Scotch Game
2025-08-27 14:44:47,Noirs,Victoire,Abandon,774,766,rapid,Queens Pawn Opening 1...d5 2.e3 c5,2025,8,Wednesday,14,8,Queens Pawn
2025-08-27 14:50:24,Noirs,Victoire,Partie abandonnée,782,758,rapid,Old Benoni Defense,2025,8,Wednesday,14,24,Old Benoni
2025-08-27 14:57:54,Blancs,Défaite,Abandon,774,787,rapid,Ruy Lopez Opening Morphy Defense Exchange Lutikov Variation,2025,8,Wednesday,14,-13,Ruy Lopez
2025-08-27 16:05:17,Noirs,Victoire,Abandon,782,751,rapid,Sicilian Defense Old Sicilian Variation 3.Bc4,2025,8,Wednesday,16,31,Sicilian Defense
2025-08-28 01:26:04,Blancs,Victoire,Abandon,790,795,rapid,Ruy Lopez Opening Cozio Defense 4.Nc3,2025,8,Thursday,1,-5,Ruy Lopez
2025-08-28 14:31:24,Noirs,Victoire,Abandon,810,813,rapid,Old Benoni Defense 2.e3 e6,2025,8,Thursday,14,-3,Old Benoni
2025-08-28 14:48:24,Blancs,Nulle,Matériel insuffisant,810,804,rapid,Ruy Lopez Opening Jaenisch Exchange Variation 4...dxc6,2025,8,Thursday,14,6,Ruy Lopez
2025-08-28 14:57:39,Blancs,Défaite,Abandon,802,846,rapid,Four Knights Game Spanish Variation Rubinstein Countergambit,2025,8,Thursday,14,-44,Four Knights
2025-08-29 16:39:57,Noirs,Défaite,Échec et mat,794,790,rapid,Sicilian Defense Open,2025,8,Friday,16,4,Sicilian Defense
2025-08-30 14:09:59,Blancs,Défaite,Abandon,786,803,rapid,Philidor Defense 3.Bc4 Nf6,2025,8,Saturday,14,-17,Philidor Defense
2025-08-30 14:17:27,Noirs,Défaite,Partie abandonnée,777,772,rapid,Sicilian Defense Nyezhmetdinov Rossolimo Attack,2025,8,Saturday,14,5,Sicilian Defense
2025-08-30 16:21:46,Noirs,Défaite,Abandon,769,776,rapid,Grob Opening 1...d5 2.h3,2025,8,Saturday,16,-7,Grob Opening
2025-08-31 15:48:31,Blancs,Victoire,Partie abandonnée,777,749,rapid,Kings Pawn Opening Kings Knight Variation,2025,8,Sunday,15,28,Kings Pawn
2025-08-31 15:57:08,Blancs,Défaite,Échec et mat,769,798,rapid,Philidor Defense 3.Bc4,2025,8,Sunday,15,-29,Philidor Defense
2025-08-31 16:05:38,Blancs,Défaite,Abandon,761,791,rapid,Sicilian Defense Nyezhmetdinov Rossolimo Attack 3...Nf6 4.Bxc6 dxc6,2025,8,Sunday,16,-30,Sicilian Defense
2025-08-31 16:14:53,Noirs,Victoire,Abandon,768,729,rapid,Sicilian Defense Smith Morra Gambit...3.Qxd4 Nc6 4.Qd1 Nf6,2025,8,Sunday,16,39,Sicilian Defense
2025-08-31 16:40:26,Noirs,Défaite,Abandon,760,763,rapid,Kings Pawn Opening Leonardis Variation,2025,8,Sunday,16,-3,Kings Pawn
2025-09-01 14:36:22,Noirs,Défaite,Abandon,752,777,rapid,Queens Pawn Opening Zukertort Chigorin Variation 3.Bf4 Nf6,2025,9,Monday,14,-25,Queens Pawn
2025-09-01 14:43:23,Blancs,Victoire,Abandon,760,723,rapid,Four Knights Game Spanish Variation Classical Variation 5.O O,2025,9,Monday,14,37,Four Knights
2025-09-01 17:35:00,Blancs,Victoire,Partie abandonnée,768,738,rapid,Scandinavian Defense,2025,9,Monday,17,30,Scandinavian Defense
2025-09-01 17:42:32,Noirs,Victoire,Échec et mat,776,752,rapid,Sicilian Defense 2.d3,2025,9,Monday,17,24,Sicilian Defense
2025-09-01 17:45:30,Blancs,Victoire,Partie abandonnée,784,767,rapid,Kings Pawn Opening Kings Knight Variation,2025,9,Monday,17,17,Kings Pawn
2025-09-01 18:05:10,Noirs,Victoire,Échec et mat,792,759,rapid,Closed Sicilian Defense Traditional Line 3.Bc4,2025,9,Monday,18,33,Closed Sicilian
2025-09-02 15:49:32,Blancs,Victoire,Abandon,800,800,rapid,Kings Pawn Opening Kings Knight Variation,2025,9,Tuesday,15,0,Kings Pawn
2025-09-02 15:58:03,Noirs,Défaite,Abandon,792,825,rapid,Alapin Sicilian Defense 2...Nc6 3.Nf3,2025,9,Tuesday,15,-33,Alapin Sicilian
2025-09-02 16:13:32,Noirs,Victoire,Échec et mat,800,803,rapid,Alapin Sicilian Defense,2025,9,Tuesday,16,-3,Alapin Sicilian
2025-09-02 19:27:11,Blancs,Défaite,Abandon,792,821,rapid,Scandinavian Defense,2025,9,Tuesday,19,-29,Scandinavian Defense
2025-09-02 19:37:32,Noirs,Victoire,Échec et mat,800,773,rapid,Sicilian Defense,2025,9,Tuesday,19,27,Sicilian Defense
2025-09-02 22:37:05,Blancs,Victoire,Temps écoulé,808,808,rapid,Ruy Lopez Opening Cozio Defense 4.O O,2025,9,Tuesday,22,0,Ruy Lopez
2025-09-03 17:11:19,Noirs,Victoire,Partie abandonnée,816,781,rapid,Sicilian Defense Smith Morra Gambit 2...cxd4 3.Qxd4 Nc6 4.Qd1,2025,9,Wednesday,17,35,Sicilian Defense
2025-09-03 17:15:42,Blancs,Victoire,Partie abandonnée,824,805,rapid,Italian Game Two Knights Modern Bishops Opening 4...Be7 5.O O d6,2025,9,Wednesday,17,19,Italian Game
2025-09-03 17:31:13,Blancs,Défaite,Abandon,816,850,rapid,Kings Pawn Opening,2025,9,Wednesday,17,-34,Kings Pawn
2025-09-03 21:58:21,Noirs,Défaite,Échec et mat,808,836,rapid,Sicilian Defense Bowdler Attack 2...Nc6,2025,9,Wednesday,21,-28,Sicilian Defense
2025-09-03 22:07:20,Blancs,Victoire,Échec et mat,816,798,rapid,Four Knights Game Spanish Variation Classical Variation 5.O O,2025,9,Wednesday,22,18,Four Knights
2025-09-03 22:15:20,Noirs,Défaite,Échec et mat,808,842,rapid,Closed Sicilian Defense,2025,9,Wednesday,22,-34,Closed Sicilian
2025-09-03 22:26:23,Noirs,Nulle,Répétition,808,813,rapid,Sicilian Defense Bowdler Attack,2025,9,Wednesday,22,-5,Sicilian Defense
2025-09-04 21:21:21,Blancs,Défaite,Échec et mat,800,812,rapid,Ruy Lopez Opening Berlin Beverwijk Variation,2025,9,Thursday,21,-12,Ruy Lopez
2025-09-04 21:28:31,Noirs,Défaite,Échec et mat,793,830,rapid,Alapin Sicilian Defense 2...Nc6 3.d4 cxd4 4.cxd4,2025,9,Thursday,21,-37,Alapin Sicilian
2025-09-05 13:25:47,Noirs,Victoire,Abandon,801,774,rapid,Old Benoni Defense 2.dxc5,2025,9,Friday,13,27,Old Benoni
2025-09-05 13:38:46,Blancs,Victoire,Abandon,809,814,rapid,Philidor Defense 3.Bc4 Be7 4.O O Nf6,2025,9,Friday,13,-5,Philidor Defense
2025-09-05 13:48:20,Blancs,Victoire,Échec et mat,817,800,rapid,Ruy Lopez Opening Cozio Defense 4.O O g6 5.d4,2025,9,Friday,13,17,Ruy Lopez
2025-09-05 15:52:14,Noirs,Défaite,Abandon,809,813,rapid,Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qd8 4.d4 Nf6 5.Nf3,2025,9,Friday,15,-4,Scandinavian Defense
2025-09-05 16:01:24,Noirs,Victoire,Échec et mat,817,789,rapid,Sicilian Defense,2025,9,Friday,16,28,Sicilian Defense
2025-09-05 16:18:02,Blancs,Nulle,Répétition,817,809,rapid,Ruy Lopez Opening Cozio Defense 4.O O,2025,9,Friday,16,8,Ruy Lopez
2025-09-05 16:21:03,Noirs,Défaite,Abandon,809,834,rapid,Closed Sicilian Defense Traditional Line 3.Nf3 e5 4.Bc4,2025,9,Friday,16,-25,Closed Sicilian
2025-09-05 16:24:19,Blancs,Défaite,Abandon,801,816,rapid,Caro Kann Defense 2.Nf3 d5,2025,9,Friday,16,-15,Caro Kann
2025-09-05 22:50:56,Noirs,Victoire,Abandon,808,769,rapid,Closed Sicilian Defense Traditional Line 3.Nf3 e5 4.Bc4,2025,9,Friday,22,39,Closed Sicilian
2025-09-05 22:58:13,Blancs,Défaite,Abandon,800,808,rapid,Pirc Defense Modern Defense Geller System...3.Nc3 e5 4.Bc4 Be7,2025,9,Friday,22,-8,Pirc Defense
2025-09-05 23:03:22,Blancs,Victoire,Abandon,808,774,rapid,Philidor Defense 3.Bc4,2025,9,Friday,23,34,Philidor Defense
2025-09-05 23:12:20,Noirs,Défaite,Échec et mat,800,836,rapid,Sicilian Defense Open,2025,9,Friday,23,-36,Sicilian Defense
2025-09-05 23:18:34,Blancs,Défaite,Abandon,621,800,blitz,Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qd8 4.Bc4 Nf6 5.Nf3,2025,9,Friday,23,-179,Scandinavian Defense
2025-09-06 17:54:24,Blancs,Défaite,Abandon,499,615,blitz,Scandinavian Defense,2025,9,Saturday,17,-116,Scandinavian Defense
2025-09-06 18:04:04,Noirs,Défaite,Abandon,792,817,rapid,Closed Sicilian Defense Traditional Line 3.Bc4,2025,9,Saturday,18,-25,Closed Sicilian
